chave_da_serie;nome_exibido;primeira_vez;total_em_centesimos;quantidade;residuo_do_cruzamento
protecting-scroll-enchant-c-grade-armor#C;Protecting Scroll: Enchant C-grade Armor;2026-09-02T07:12:14.500500;2000;8;0
protecting-scroll-enchant-c-grade-weapon#C;Protecting Scroll: Enchant C-grade Weapon;2026-09-02T07:12:14.500500;1199;4;3
protecting-scroll-enchant-c-grade-weapon#C;Protecting Scroll: Enchant C-grade Weapon;2026-09-02T07:12:14.500500;1800;6;0
protecting-scroll-enchant-c-grade-armor#C;Protecting Scroll: Enchant C-grade Armor;2026-09-02T07:12:14.500500;1000;3;1
protecting-scroll-enchant-c-grade-weapon#C;Protecting Scroll: Enchant C-grade Weapon;2026-09-02T07:12:14.500500;1360;4;0
protecting-scroll-enchant-c-grade-armor#C;Protecting Scroll: Enchant C-grade Armor;2026-09-02T07:12:14.500500;1050;3;0
protecting-scroll-enchant-c-grade-weapon#C;Protecting Scroll: Enchant C-grade Weapon;2026-09-02T07:12:14.500500;2200;6;4
improved-scroll-enchant-c-grade-armor#C;Improved Scroll: Enchant C-grade Armor;2026-09-02T07:12:14.500500;3100;8;4
improved-scroll-enchant-c-grade-armor#C;Improved Scroll: Enchant C-grade Armor;2026-09-02T07:12:14.500500;3500;9;8
improved-scroll-enchant-c-grade-armor#C;Improved Scroll: Enchant C-grade Armor;2026-09-02T07:12:14.500500;1980;5;0
